Name,Title,aiconalt,View,State,View1,asizebase
jagadish,Preethi 750watt worth for ₹2700 think and research before you buy cause price fluctuates.,5.0 out of 5 stars,"Reviewed in India on November 11, 2018",Verified Purchase,"Looks simple, does it's job well.
It has 750watt power. Motor so it makes some noise. You just have to spin it for few seconds like 5to 10 your job is done.

Not like any other grinder where you just keep the machine on for a min and you see things inside jar are not that smoothened but it's different with preethi

I got this for a good deal of 2700 during deepavali sale
Only dislike was the packaging, it came with direct package meaning I could see preethi company box when delivery was given no. Extra care or Amazon package was done.

This could have damaged the product but nothing happened in my case and I had double thought if I need accept it or send it bac. Finally opened the box and saw that all things were safe.",6 people found this helpful
J. Shankar,Very unsatisfactory experience with product & service,1.0 out of 5 stars,"Reviewed in India on September 5, 2019",Verified Purchase,"We had a very bad experience with Preethi Blue Leaf Diamond 750-Watt Mixer Grinder.  Both the product and the after sales service were very disappointing.  We bought in late July 2019.  And by late August 2019 it stopped working.  We called the Service Centre, but kept getting told to call a different number.  Finally, one customer service agent said that it must be the red switch at the bottom - which trips when there is an overload or voltage surge.  We pressed the switch as instructed but it still did not work.  After 3 more calls they arranged to send a technician over to look at the machine without charge.  We received two SMS with different name and mobile number of technician and date.  But nobody came.  We called again twice and then one agent said they will send somebody but there is a charge of Rs. 120 - previously they said it was free.  Anyway, we agreed, the technician came and found a loose connection and fixed it.  All within one month of purchase.  Very unsatisfactory.",5 people found this helpful
Beyoncé,Using more than 15 years nd counting🥰,5.0 out of 5 stars,"Reviewed in India on April 20, 2021",Verified Purchase,"We used this product more than 15 years and it’s still working perfectly and again we bought the same product 🥰 we asked the same product in a local store but they told the same product prize as 5500 so I bought it on Amazon for 3,881 so iam happy",3 people found this helpful
Ani,Motor stopped working just after 15 days,1.0 out of 5 stars,"Reviewed in India on December 1, 2020",Verified Purchase,"Preeti is supposed to be a famous brand and I made this purchase after checking reviews with an expectation that the mixer would atleast last for 3 years.
Even a local mixer that costs 1000-1500/- lasts for 4-5 years.

This is really disappointing, the brand which was supposed to be doing so well has reduced it's quality so badly.
It worked for some 15 days and on one morning it simply didnot start.
Now, I have to take the headache of contacting the seller/company which has never happened so far for any of other mixer grinders.",3 people found this helpful
Naren R,Very high noise.,3.0 out of 5 stars,"Reviewed in India on October 15, 2021",Verified Purchase,"Three issues
1. High noise. : Got the replacement too.but same problem. Tjough vendor claims noise level is 80 dB, actual leVel is high.

2. It is Very tall: It is difficult to use it for grinding.

3. Blades quality: it is made from sheet. It is like some job done by black smith for temparary arrangement, not like shop made blade.

Though it is having brand value, quality needs to be improved lot.

Needs to improve. Certainly not prefred to purchade it.",
Sumathy Srinivasan,Good,4.0 out of 5 stars,"Reviewed in India on June 9, 2021",Verified Purchase,"Good product for this price. Serves the purpose. I am happy with the purchase. Earlier I purchased Preethi platinum 5yrs back. It is still working but the motor sound became horrible so purchased a new one.

I am giving the feedback after using it for 3 months. Both of my jars are not working. Preethi customer care is not responding properly and dont know where to get the service as my product is in warranty period. Very bad experience. For past 15 yrs I am using preethi mixie only but never faced any problem.",
Shubhalaxmi Pradhan,Not a very good product.,5.0 out of 5 stars,"Reviewed in India on January 27, 2022",Verified Purchase,"Except the smallest jar, it's difficult to fit the jars properly. Both the jars started malfunctioning within a short time. Amazon.in doesn't tell you how to invoke warranty. Till today, 15/2/2022, Preethi industry has not replied
18/4/2022
After lot of efforts I could invoke the warranty last month and the defective product was replaced by Amazon. This product works very well",One person found this helpful
ashok,"good purchase, I understand diamond is only avilable for online.",4.0 out of 5 stars,"Reviewed in India on October 13, 2019",Verified Purchase,"Had been using preeting for past 10 years aleast, since the old blue leaf gold had some problem went for a totally new one. the difference that i noted is Gold series has 5 years motor warranty and dimon come with only 2 years, and gold series has bigger jar capacity than diamond. but motor and body is the same.

coming to negatives,
The jars of Dimond series are not suitable for whipping (egg/butter milk) etc.
i would say that the chutney Jar cap is a pathetic design, difficult to open and close.
The picture shown for the Flexi lid is misleading and wrong,
Packing is average, not sure if there was any enviroinmnetal reson to avoid thermocol.
blades are permanant and cannot be changed as per requirement.",One person found this helpful
rathish,Respond from preethi,1.0 out of 5 stars,"Reviewed in India on August 3, 2020",Verified Purchase,"Still they haven't registered my warranty and quaarrnty card , Preethi service people telling that some technical issues
But already two months over ,smaall registration itself this kind of issue means ,if any problem in mixi in futre , I can understand how the response will be from
So buyers plz before buying anything make ensure urself regarding service availability
I think big brand companies plz don't relay because they worst in services",4 people found this helpful
desipanda,Very poor quality,1.0 out of 5 stars,"Reviewed in India on October 8, 2021",Verified Purchase,"The jars broke easily in a few months and the brand does not have replacement for it. This is a use and throw grinder where if the jars are broken you throw it away and buy a new grinder. Customer care is terrible and offer no help whatsoever. I am shifting to lifelong. This is not a premium product.

Pro:

Copper motor

Con:
No customer service
No jar replacement
Poor quality jars
Lid are loose
No after market jars available.",
Valli,"Worst experience, fell like fake.",5.0 out of 5 stars,"Reviewed in India on June 8, 2021",Verified Purchase,"Jars have stopped working not 10 times used. Also it fits too tight that u canot takeoff easily from mixer, I I'll never suggest this to buy",4 people found this helpful
Ravishankar GP,Best avoided product,1.0 out of 5 stars,"Reviewed in India on October 21, 2021",Verified Purchase,"Extremely noisy, and makes unbearable noise while operating.  The build quality is very bad.  The motor is of very low quality and not professionally assembled.  Appears like a duplicate product.  It is unfortunate that such products are being sold online without any option to return.  The unit is totally unsuable by any standard.  It is a waste of money, effort.  Very painful and cheatful experience.",
