Name,Title,aiconalt,View,State,View1,asizebase
sumit,Out of order within 20 days of use,1.0 out of 5 stars,"Reviewed in India on September 9, 2018",Verified Purchase,After some use looks like motor pully got misaligned and not as its not fitting the jar rotator.. bough it with lots of expectation :(,12 people found this helpful
John B.T,It’s okey but price is very high,4.0 out of 5 stars,"Reviewed in India on June 27, 2020",Verified Purchase,Receive and not yet used .... price is very high compare to other branded  products  ... we can buy two in this price of other branded companies.  ....  Juicer jar not providing with this set and we have to spend 780 separately .....,One person found this helpful
Sahal Khan,Awesome,5.0 out of 5 stars,"Reviewed in India on December 27, 2020",Verified Purchase,"I was torn between bosch 1000w and this, turns out sujata is fantastic and a great choice. Its loud but that is subjective. Its a 900w motor not a mobile phone vibration motor. Ofcourse its going to be loud! Does its work like a charm!",One person found this helpful
Anand Seth,The wife and the maid love this!,5.0 out of 5 stars,"Reviewed in India on November 2, 2020",Verified Purchase,"This thing is a beast, my wife and the maid both are in awe of its grinding power. The machine is noisy, however, it gets the job done quickly and in the first few attempts. Spices and other hard condiments are turned into a powder in a matter of seconds. Expensive, but worth the investment.",
Riya,Best mixer grinder ever!!!,5.0 out of 5 stars,"Reviewed in India on August 25, 2020",Verified Purchase,"This is such an amazing mixer grinder! Grinded my catfood to dust within seconds!! Also red lentil and green mung lentil were fine dust within minutes...superb quality,superb blades, everything is awesome..no damages other than slightly cracked handles and the noise level is okay compared to others. Gifted it to my mom and she's in love with it❤️❤️❤️ go for it without a second thought. We have been using Bajaj checks and deckers model for last 12years, this is definitely better than that.",
Ann,Awesome Mixer a must buy,5.0 out of 5 stars,"Reviewed in India on June 25, 2021",Verified Purchase,"Writing this review after using it for more than 7months. It's a powerful mixer which requires very little time to grind ingredients to a fine paste. Used it for many kinds of chutneys, ground rice and coconut with ease. Clean the mixer with instructions provided in the manual so that the blades remain sharp. We've used many brands before but this one has superseded all till date. The delivery was on time and packing was also great.",
Annie,Its different and unique,5.0 out of 5 stars,"Reviewed in India on May 7, 2019",Verified Purchase,"This is just ot of the world.. I have used Philips, Morphy, many other.. but this grinder has something new.. smart looks, 900 watt motor, i can grind any impossible thing, it doesn't get exhaust...",3 people found this helpful
Amazon Customer,User of almost 4 years.,5.0 out of 5 stars,"Reviewed in India on December 26, 2020",Verified Purchase,"This is the best. I am using it since Feb 2017. Still, not a single complaint. Motor bush is made of metal, so it will never break unlike in other companies' products. My machine is working as good as it was when I purchased it. For peace of mind, buy from retail shop. I had purchased from Amazon. No problem.",One person found this helpful
Somenath Ghose,Power and ease for Indian kitchen,5.0 out of 5 stars,"Reviewed in India on October 30, 2020",Verified Purchase,"1) for a home kitchen this is a powerful machine if you need for hard grinds
2) noise level is acceptable and much below other mixers I have used
3) easy to use, easy to clean.
4) the guard ring at the base is very useful as it prevents spills from entering the rotor
5) most important my wife is very satisfied after using it as compared to other good brands thatbshe has handled",
S K.,"Powerful, efficient",4.0 out of 5 stars,"Reviewed in India on June 6, 2019",Verified Purchase,"There are several pros and one con.  The pros are superior grinding power (cinnamon gets powdered in a jiffy) and good quality motor which does not get heated.The on con for me is the small chutney jar.  It doesnt help in making peanut butter like my earlier mixer jar did.  The second larger jar (in size) was also no good in making peanut butter.  Thus, I would like to get a jar with size something in between the chutney and the second smallest jar.",One person found this helpful
Rashmi M.,Best Mixer Grinder,5.0 out of 5 stars,"Reviewed in India on June 25, 2021",Verified Purchase,"It’s a tough and awesome mixer grinder using it for almost 15 days now.Idli dosa batter is grounded in minutes and even our Indian Masalas.just loved it and will update after a few months of use.
Thanks SUJATA ♥️♥️♥️",
Devashish Chauhan,Durability ka baap,5.0 out of 5 stars,"Reviewed in India on August 28, 2020",Verified Purchase,"I have used it for 1 year.
Pros: 1) Build quality is above super, Toughness in every material from motor to that plastic knife.
2) Powerful and heavey motor
It's running time is about half hour, but don't run for more than 30 sec at once(for your safety)
3)from Indian Company
4) durable, durable durable, that's what I wanted...

Cons: Nothing...(U can add It makes some noise as expected).

Must buy. Value for money",
A,The best mixer grinder available!,5.0 out of 5 stars,"Reviewed in India on May 1, 2022",Verified Purchase,"Very easy to use. Super efficient. Jars lock smoothly into place with a gentle turn. Noise level bearable given that it’s 900W. Does liquid blending, batter grinding, coconut grinding ,dry masala grinding and small quantity grinding very well. Would definitely recommend.",
Hema,"Value for money, excellent product",5.0 out of 5 stars,"Reviewed in India on July 24, 2021",Verified Purchase,"One of the best investments I've made..superb mixer, grinds in a jiffy, high power motor, noise level low, can powder anything,  I've tried raw n dried turmeric and ginger..grinds very well into a smooth powder.totally satisfied with the performance.",
Arvind S,Sturdy in build and amazing in performance,5.0 out of 5 stars,"Reviewed in India on June 24, 2019",Verified Purchase,"There are other well known brands that would come for almost half the price of this. But if u use it, u come to know that despite the price u pay what you get is much more. The grinding is so fine, that my wife says her cooking has reached a new level. It's well built and quite sturdy. Using this since last 4 months. My wife keeps thanking me so much for going for this mixer.",One person found this helpful
Purnachandra Sahoo,Chutney Jar will by default leak as per company authorized service center,2.0 out of 5 stars,"Reviewed in India on December 29, 2019",Verified Purchase,"I would give 2 star. I git this product after one week of booking. The product look nice and some scartches on it. As the product was in good working condition so I ingnore that small scratch. The problem was with chutney jar. Below it was leaking. I spoke to customer care they gave me local service center address. I explained service guy the problem over phone and they told me to bring that jar. So I did, and they told it usually happen like this. I was like wtf are they telling. I bought a  brand new product with directive jar and they are lecturing me to take it back. Very bad experience. If you are lucky then you will get a good one.",
Amazon Customer,Good Mixer Grinder,5.0 out of 5 stars,"Reviewed in India on December 11, 2021",Verified Purchase,"Quality of the product is too good, in each & every parameter it get 5/5. Price of this product doest get change day by day & same on mostly shopping sites, it shows that this product is being sold for its quality not for heavy discounts.",
Amazon Customer,Extremely Powerful Mixer Grinder,5.0 out of 5 stars,"Reviewed in India on August 11, 2020",Verified Purchase,I a very happy to purchase Sujata Dynamix DX Mixer Grinder. An Indian product with world class quality. The machine and all the jars are of very heavy duty and durable material. And due to its quality it is pricier than other PLASTIC ones but certainly worth every penny spend.,
HS,Good product,4.0 out of 5 stars,"Reviewed in India on July 3, 2020",Verified Purchase,I use it sparringly but the product works well. I had got it around Inr 900 cheaper online than retail store. Steel jars are of reasonable quality. Durability to be tested yet. As am not an expert user can't give deep insight on merits/demerits in comparison with other mixers/grinders.,
AeJaJ Vahora,100 % value for money product. just go for it.,5.0 out of 5 stars,"Reviewed in India on June 15, 2022",Verified Purchase,"I always write reviews so that others who want to but the product can get help from it.
talking about the sujata mixer grinder, its a good quality grinder, If you want to buy it, just go for it without any hesitation. The product got delivered 1 day earlier than the said delivery date. the packaging was nice and the product was safe and sound.",
Srikanth G,"Good Useful,Reliable product.",5.0 out of 5 stars,"Reviewed in India on December 12, 2018",Verified Purchase,"It is really nice product, I researched many brands before purchasing Sujata Mixer. I have seen Sujata Mixers were used in Hotels and I wanted powerful machine. To my surprise, sound is low and quality of product is much high. The grinder knocks were made of metal(I have not seen Sumeet,Panasonic, Bajaj having this feature ) and it is strong.",One person found this helpful
rahul.vs,Jar heats up rapidly.,4.0 out of 5 stars,"Reviewed in India on June 5, 2020",Verified Purchase,"Jar heats up swiftly and whatever is inside starts steaming up rapidly.
Mixer is good.Jars are poor.
OK product overall.
Nevertheless, a decent product for intermittent home use.",2 people found this helpful
usha murthy,Good product with one defect,4.0 out of 5 stars,"Reviewed in India on April 5, 2021",Verified Purchase,Good mixer grinder. Only problem is the jars heats up very soon. Hence idli and dosa batter gets heated up while grinding and formentation doesn't happen as batter becomes hot while grinding. Hence four star,
B Sangam,Good product but horrible delivery,4.0 out of 5 stars,"Reviewed in India on February 28, 2021",Verified Purchase,"Great product, powerful motor, little bit noise but it is common. I deducted one star due to horrible delivery by Amazon delivery agent, broken mixer grinder Box was delivered, but thank god, no damages to mixer grinder, but there are some scratches on some parts. Amazon should improve delivery service.",
Amazon Customer,Grinds into a paste in no time,5.0 out of 5 stars,"Reviewed in India on August 25, 2021",Verified Purchase,"It is an amazing buy, grinds to a fine paste in no minute. Absolutely easy with three jars. I have been using for the past two months now and I Absolutely love it 😍. Thankyou Amazon and Sujata :))",One person found this helpful
Bindya,I love this machine,5.0 out of 5 stars,"Reviewed in India on July 28, 2019",Verified Purchase,"I am able to do chutney, idli batter, masalas and milkshakes.
Power is high, so noisy, but we use for short time only.
Earlier I had Preethi for many years. Was a bit skeptical about Sujata. But no regrets now. Will definitely recommend.",One person found this helpful
Prasad,WORTH IT..!!,4.0 out of 5 stars,"Reviewed in India on September 14, 2019",Verified Purchase,"Sujata Dynamix DX 900-Watt Mixer received yesterday and used only once till today. The 3 Jars are made with good quality steel & plastic. But felt little noisy compare to our ex-mixer from Preeti Brand. Other then little noisy the mixer looking worth it. Since we used only once, hope it'll work perfectly in future also.",
Dr Sabita Augustine,Major parts missing,1.0 out of 5 stars,"Reviewed in India on June 27, 2020",Verified Purchase,"Received only 2 jars. The mixer grinder itself was missing in the package along with the third jar..
Very bad experience..
Edit. Someone stole it on the way",4 people found this helpful
Sumedha T.,Powerful,5.0 out of 5 stars,"Reviewed in India on March 16, 2021",Verified Purchase,"It is a sturdy blender that gets the job done for everything I make. It has not disappointed so far. From making nice cream to grinding spices finely, it does the job done without making a mess. It does make some noise due to the powerful motor but as long as it works, I am happy. Been using this product for last 4-5 months now.",
P,A great buy!,4.0 out of 5 stars,"Reviewed in India on October 11, 2020",Verified Purchase,"Been using it for over a year now. It’s really good, easy to clean, very sturdy. Recently making more noise than earlier but overall a really good mixie. Worth the price and a great product to buy. I wish there’d be more froth while making shakes.",
S Girinadha Reddy,Review after 1 year use,5.0 out of 5 stars,"Reviewed in India on December 18, 2021",Verified Purchase,"I brought this mixer in 2020, before this I used butterfly mixer due to multiple issue I let that in repair shop and brought sujata mixer, performance and quality of product is very good...... no..... issue once ....

We used this mixer in 4 members family including idly and dose, udhi vada ittu manking ....",
aryanshah,Another level product:::::GO FOR IT ::::),5.0 out of 5 stars,"Reviewed in India on July 1, 2019",Verified Purchase,"The product quality is amazing and Motor has some amazing power.... just go for it without any doubt...
Simple design makes it look even better...
And the best part is that Almost every Attachment is available online... no need to worry about any attachments that helps damaged... :)",One person found this helpful
Dr. Arun,Good one. Recommended.,5.0 out of 5 stars,"Reviewed in India on June 24, 2020",Verified Purchase,"Using since 2 months. So far its Awesome - in quality, performance & durability. Brought after a thorough research. Slightly expensive, but its worth every penny.
Recommended.",One person found this helpful
